block_id,num_period,group_id,player_id,pay_rate,endowment,c,service_time
0,1,1,1,10,5,0.21,30
0,1,1,2,10,5,0.88,30
0,1,1,3,10,5,0.91,30
0,1,1,4,10,5,0.94,30
0,1,2,1,10,5,0.21,30
0,1,2,2,10,5,0.88,30
0,1,2,3,10,5,0.91,30
0,1,2,4,10,5,0.94,30
1,2,1,1,10,5,0.69,30
1,2,1,2,10,5,0.45,30
1,2,1,3,10,5,0.31,30
1,2,1,4,10,5,0.28,30
1,2,2,1,10,5,0.69,30
1,2,2,2,10,5,0.45,30
1,2,2,3,10,5,0.31,30
1,2,2,4,10,5,0.28,30
1,3,1,1,10,5,0.34,30
1,3,1,2,10,5,0.71,30
1,3,1,3,10,5,0.57,30
1,3,1,4,10,5,0.62,30
1,3,2,1,10,5,0.34,30
1,3,2,2,10,5,0.71,30
1,3,2,3,10,5,0.57,30
1,3,2,4,10,5,0.62,30
1,4,1,1,10,5,0.38,30
1,4,1,2,10,5,0.67,30
1,4,1,3,10,5,0.81,30
1,4,1,4,10,5,0.69,30
1,4,2,1,10,5,0.38,30
1,4,2,2,10,5,0.67,30
1,4,2,3,10,5,0.81,30
1,4,2,4,10,5,0.69,30
1,5,1,1,10,5,0.21,30
1,5,1,2,10,5,0.88,30
1,5,1,3,10,5,0.91,30
1,5,1,4,10,5,0.94,30
1,5,2,1,10,5,0.21,30
1,5,2,2,10,5,0.88,30
1,5,2,3,10,5,0.91,30
1,5,2,4,10,5,0.94,30
1,6,1,1,10,5,0.69,30
1,6,1,2,10,5,0.45,30
1,6,1,3,10,5,0.31,30
1,6,1,4,10,5,0.28,30
1,6,2,1,10,5,0.69,30
1,6,2,2,10,5,0.45,30
1,6,2,3,10,5,0.31,30
1,6,2,4,10,5,0.28,30
1,7,1,1,10,5,0.34,30
1,7,1,2,10,5,0.71,30
1,7,1,3,10,5,0.57,30
1,7,1,4,10,5,0.62,30
1,7,2,1,10,5,0.34,30
1,7,2,2,10,5,0.71,30
1,7,2,3,10,5,0.57,30
1,7,2,4,10,5,0.62,30
1,8,1,1,10,5,0.38,30
1,8,1,2,10,5,0.67,30
1,8,1,3,10,5,0.81,30
1,8,1,4,10,5,0.69,30
1,8,2,1,10,5,0.38,30
1,8,2,2,10,5,0.67,30
1,8,2,3,10,5,0.81,30
1,8,2,4,10,5,0.69,30
